input size (n), operation count
1, 14
2, 43
4, 107
8, 247
16, 551
32, 1207
64, 2615
128, 5623
256, 12023
512, 25591
1024, 54263
2048, 114679
4096, 241655
8192, 507895
16384, 1064951
32768, 2228215
65536, 4653047
131072, 9699319
262144, 20185079
524288, 41943031
1048576, 87031799
2097152, 180355063
4194304, 373293047
8388608, 771751927
16777216, 1593835511
33554432, -1006632969
67108864, -1811939337
134217728, 1073741815
268435456, -1342177289
536870912, -1073741833
1073741824, 1073741815
