input size (n), operation count
1, 7
3, 12
7, 17
15, 22
31, 27
63, 32
127, 37
255, 42
511, 47
1023, 52
2047, 57
4095, 62
8191, 67
16383, 72
32767, 77
65535, 82
131071, 87
262143, 92
524287, 97
1048575, 102
2097151, 107
4194303, 112
8388607, 117
16777215, 122
33554431, 127
67108863, 132
134217727, 137
268435455, 142
536870911, 147
1073741823, 152
2147483647, 157
4294967295, 162
