input size (n), operation count
4294962694, 154
4294962695, 155
4294962696, 153
4294962697, 154
4294962698, 154
4294962699, 155
4294962700, 154
4294962701, 155
4294962702, 155
4294962703, 156
4294962704, 153
4294962705, 154
4294962706, 154
4294962707, 155
4294962708, 154
4294962709, 155
4294962710, 155
4294962711, 156
4294962712, 154
4294962713, 155
4294962714, 155
4294962715, 156
4294962716, 155
4294962717, 156
4294962718, 156
4294962719, 157
4294962720, 153
4294962721, 154
4294962722, 154
4294962723, 155
4294962724, 154
4294962725, 155
4294962726, 155
4294962727, 156
4294962728, 154
4294962729, 155
4294962730, 155
4294962731, 156
4294962732, 155
4294962733, 156
4294962734, 156
4294962735, 157
4294962736, 154
4294962737, 155
4294962738, 155
4294962739, 156
4294962740, 155
4294962741, 156
4294962742, 156
4294962743, 157
4294962744, 155
4294962745, 156
4294962746, 156
4294962747, 157
4294962748, 156
4294962749, 157
4294962750, 157
4294962751, 158
4294962752, 153
4294962753, 154
4294962754, 154
4294962755, 155
4294962756, 154
4294962757, 155
4294962758, 155
4294962759, 156
4294962760, 154
4294962761, 155
4294962762, 155
4294962763, 156
4294962764, 155
4294962765, 156
4294962766, 156
4294962767, 157
4294962768, 154
4294962769, 155
4294962770, 155
4294962771, 156
4294962772, 155
4294962773, 156
4294962774, 156
4294962775, 157
4294962776, 155
4294962777, 156
4294962778, 156
4294962779, 157
4294962780, 156
4294962781, 157
4294962782, 157
4294962783, 158
4294962784, 154
4294962785, 155
4294962786, 155
4294962787, 156
4294962788, 155
4294962789, 156
4294962790, 156
4294962791, 157
4294962792, 155
4294962793, 156
4294962794, 156
4294962795, 157
4294962796, 156
4294962797, 157
4294962798, 157
4294962799, 158
4294962800, 155
4294962801, 156
4294962802, 156
4294962803, 157
4294962804, 156
4294962805, 157
4294962806, 157
4294962807, 158
4294962808, 156
4294962809, 157
4294962810, 157
4294962811, 158
4294962812, 157
4294962813, 158
4294962814, 158
4294962815, 159
4294962816, 153
4294962817, 154
4294962818, 154
4294962819, 155
4294962820, 154
4294962821, 155
4294962822, 155
4294962823, 156
4294962824, 154
4294962825, 155
4294962826, 155
4294962827, 156
4294962828, 155
4294962829, 156
4294962830, 156
4294962831, 157
4294962832, 154
4294962833, 155
4294962834, 155
4294962835, 156
4294962836, 155
4294962837, 156
4294962838, 156
4294962839, 157
4294962840, 155
4294962841, 156
4294962842, 156
4294962843, 157
4294962844, 156
4294962845, 157
4294962846, 157
4294962847, 158
4294962848, 154
4294962849, 155
4294962850, 155
4294962851, 156
4294962852, 155
4294962853, 156
4294962854, 156
4294962855, 157
4294962856, 155
4294962857, 156
4294962858, 156
4294962859, 157
4294962860, 156
4294962861, 157
4294962862, 157
4294962863, 158
4294962864, 155
4294962865, 156
4294962866, 156
4294962867, 157
4294962868, 156
4294962869, 157
4294962870, 157
4294962871, 158
4294962872, 156
4294962873, 157
4294962874, 157
4294962875, 158
4294962876, 157
4294962877, 158
4294962878, 158
4294962879, 159
4294962880, 154
4294962881, 155
4294962882, 155
4294962883, 156
4294962884, 155
4294962885, 156
4294962886, 156
4294962887, 157
4294962888, 155
4294962889, 156
4294962890, 156
4294962891, 157
4294962892, 156
4294962893, 157
4294962894, 157
4294962895, 158
4294962896, 155
4294962897, 156
4294962898, 156
4294962899, 157
4294962900, 156
4294962901, 157
4294962902, 157
4294962903, 158
4294962904, 156
4294962905, 157
